'ifis_id','link_id','lat','lng','type','title','upstream_area'
551,323592,42.4090660988,-92.4604467737,2,'Black Hawk Creek at Hudson (05463500)',300
573,203920,41.3631215279,-92.9733541844,2,'Des Moines River near Pella (05488110)',12371
622,273299,40.7529893789,-91.2772406366,3,'Skunk River at Augusta (AGSI4-05474000)',4333
592,425876,42.4685994891,-91.8953014387,3,'Wapsipinicon River at Independence (IDPI4-05421000)',1052
1765,277781,42.0283029835,-91.6073093959,2,'Indian Creek at Marion (05464695)',68
589,434514,42.7404936766,-91.2608486171,3,'Turkey River at Garber (GRBI4-05412500)',1557
527,425748,42.83531,-92.25672,2,'Wapsipinicon River near Tripoli (05420680)',347
621,240462,41.3016645,-92.203628,3,'North Skunk River near Sigourney (SIGI4-05472500)',735
625,555865,42.7172626022,-94.2210831147,3,'Des Moines River at Humboldt (HBTI4-05476750)',2286
595,437890,42.7574467829,-93.6218138689,3,'Iowa River near Rowan (ROWI4-05449500)',426
1634,397631,42.7202858748,-96.24066,3,'Floyd River at Merrill (MRLI4)',815
1642,313478,42.1664043473,-93.5769839896,3,'South Skunk River at Ames (ESKI4)',217
1689,338412,42.339822835,-95.9699103359,2,'East Fork Wolf Creek near Oto (06602298)',28
1641,487160,42.744906516,-95.5518738999,3,'Little Sioux River at Cherokee (CHKI4)',2162
666,157405,41.00791,-95.24143,3,'East Nishnabotna River at Red Oak (RDOI4-06809500)',897
522,431052,43.0411716252,-91.207349875,2,'Bloody Run Creek near Marquette (05389400)',34
1630,279585,41.6936519179,-94.3825772208,2,'Lake Panorama at Panora (05483470-PNLI4)',406
593,426049,42.0834840674,-91.2657434524,3,'Wapsipinicon River near Anamosa (ANSI4-05421740)',1581
536,255051,41.8991282793,-92.467483855,2,'Richland Creek near Haven (05451900)',57
1683,360567,42.469595,-91.121818,2,'NF Maquoketa River below Bear Cr at Dyersville (05418110)',122
552,309414,42.2501651086,-92.2985983401,2,'Wolf Creek near Dysart (05464220)',297
524,399598,42.8456943129,-91.8085387269,2,'Volga River at Fayette (05412340)',130
1640,229011,41.65676,-93.54557,2,'Fourmile Creek at Altoona (ATNI4)',81
584,275879,41.7997359413,-93.9380781509,2,'Beaver Creek near Woodward (WWDI4)',292
1632,378533,41.7015910189,-93.6747503397,2,'Des Moines River at Saylorville Reservoir (SAYI4)',5873
1611,325461,42.3115861879,-93.6368081834,2,'Mud Lake Drainage Ditch 71 at Jewell (05469860)',66
1614,503197,43.470560055,-95.1025316984,2,'Spirit Lake near Orleans (06604000-SLKI4)',41
1645,438053,42.4108913348,-93.0696410875,3,'Iowa River at Steamboat Rock (STBI4)',740
1635,203919,41.3673246507,-92.9837832897,2,'Des Moines River at Red Rock Reservoir (PELI4)',12370
636,197446,41.533723175,-93.9497645249,3,'Raccoon River at Van Meter (VNMI4-05484500)',3436
581,306499,42.0181376041,-94.2926134103,2,'Buttrick Creek near Grand Junction (GJTI4)',187
538,245378,41.83549,-92.38413,2,'Walnut Creek near Hartwick (05452200)',71
583,242077,41.7932263295,-93.7289067618,2,'Big Creek Lake near Polk City (PLKI4)',73
1644,486944,43.13673,-95.1441,3,'Little Sioux River at Spencer (SPWI4)',1000
712,271501,42.0003057999,-92.5806524003,2,'Deer Creek near Toledo (TOLI4)',4
1636,397607,42.800507,-96.17695,3,'Floyd River at Le Mars (LMRI4)',485
574,143605,41.301663835,-93.042806724,2,'English Creek near Knoxville (05488200)',91
539,230601,41.74937,-92.1799298869,2,'Big Bear Creek at Ladora (05453000)',187
679,368079,41.2780685,-91.3424275,3,'Iowa River at Columbus Junction (CJTI4)',12245
610,367697,42.1725513134,-92.0194654038,3,'Cedar River at Vinton (VINI4-05464315)',6022
569,228998,41.7165599224,-93.5687932805,2,'Fourmile Creek near Ankeny (05485605)',59
643,203941,41.2780623507,-92.8533872985,3,'Des Moines River near Tracy (TRCI4-05488500)',12526
579,92010,40.8255412433,-92.8867709432,2,'Chariton River near Rathbun (06903900)',542
646,204188,40.7283155,-91.958245,3,'Des Moines River at Keosauqua (KEQI4-05490500)',14083
537,277520,41.9636313389,-92.3118217137,2,'Salt Creek near Elberon (05452000)',201
616,313504,42.0692943746,-93.6120854429,3,'South Skunk River near Ames (AMEI4-05470000)',314
560,407487,42.805884565,-94.4575290045,2,'Pilot Creek at County Hwy P15 near Rolfe (05476735)',97
1607,544317,41.8308730032,-90.1814953652,2,'Beaver Slough at 3rd St at Clinton (05420460-CBSI4)',13296
665,178160,41.347505934,-95.078439758,3,'East Nishnabotna River near Atlantic (ATCI4-06809210)',440
642,162846,41.3378894002,-93.4876600742,3,'South River near Ackworth (AKWI4-05487470)',461
1639,307867,42.1669943751,-93.7520216246,3,'Squaw Creek at Hwy E18 at Ames (ESQI4)',92
644,108201,41.2190060476,-92.9074134408,3,'Cedar Creek near Bussey (BSSI4-05489000)',374
1638,292239,42.0691778494,-93.672145614,3,'Squaw Creek at Ames Cameron School Rd at Ames (CSRI4)',174
667,157543,40.5992088632,-95.644133531,3,'Nishnabotna River above Hamburg (HMBI4-06810000)',2822
564,334282,42.3584843995,-94.9906664533,2,'North Raccoon River near Sac City (05482300)',726
540,318208,41.7148491675,-91.5298813552,2,'Iowa River below Coralville Dam near Coralville (05453520)',3117
632,378559,41.6122201477,-93.6182443586,3,'Des Moines River at 2nd Ave at Des Moines (DMOI4-05482000)',6305
648,553137,43.4185772527,-96.1606518508,3,'Rock River below Tom Creek at Rock Rapids (RAPI4-06483290)',853
608,367567,42.5372287258,-92.4405904947,3,'Cedar River at Cedar Falls (CEDI4-05463050)',4714
572,132569,41.247986,-93.288388,2,'White Breast Creek near Dallas (05487980)',332
637,197506,41.5640289148,-93.7007569897,3,'Raccoon River at 63rd St at Des Moines (DMWI4-05484650)',3517
2001,116175,40.9990629874,-92.0174742342,5,'US 34 near Cedar Ck. - 2.0 Mi. W of IA 1',14.286
2002,108498,41.0354993981,-93.4322605333,5,'US 65 Over White Breast Ck. - E. of Lucas',135.136
2003,174456,41.2877896119,-92.6945263622,5,'IA 92 Over Muchakinock Ck. - 1.3 Mi. W. of Jct. IA 163',37.066
2004,204564,41.5676903245,-91.24982,5,'US 6 Over Wapsinonoc Ck. - E. of West Liberty',46.718
2005,143599,41.2849349874,-93.0587935641,5,'IA 5 Over English Ck. - 1.3 MI. S OF S JCT. IA 92',87.645
2006,81902,40.7855301232,-91.569523381,5,'IA 16 Over Sugar Ck. - 0.3 MI. W OF JCT. US 218',8.494
2007,350352,42.5805670618,-92.7896389209,5,'IA 14 Over Beaver Ck. - 0.2 Mi. N of N Jct. IA57',265.638
2008,362008,42.5861532439,-92.9163295569,5,'IA 57 Over Gran Creek - 0.5 mi. E of Jct. CR T19',5.405
2009,361838,42.5770927389,-92.8489969188,5,'IA 57 Over Drainage Ditch - 0.1 mi. E OF E Jct CR T25',11.583
2010,350370,42.5738696753,-92.6916339483,5,'IA 57 Adj. Beaver Ck. - 3.8 mi. E of Jct. IA 14',331.662
2011,435025,42.9946286464,-93.199608103,5,'US 65 Adj. E Br Beaverdam Ck. - near Rockwell',27.799
2012,509666,43.0683055,-92.5486984987,5,'US 18 Over Little Cedar River - 0.4 MI. W OF CR T76',272.202
2013,473644,43.2820006236,-92.7702971037,5,'US 218 Over Spring Ck - 2.0 mi. E of Osage',11.969
2014,404503,42.8468644622,-91.946896569,5,'IA 93 Over Volga River - 0.2 MI. W. OF CR W14',21.236
2015,335603,42.3397223076,-93.31226668,5,'US 65 Over Tipton Ck. - 1.0 mi. S of CR D47',62.935
2016,296584,42.191595,-92.455552,5,'IA 8 Over Coon Ck. - 0.1 mi. E of Traer',23.166
2017,304642,42.1968872299,-92.4666301122,5,'US 65 Over Wolf Ck. - 0.2 mi. N of Traer',164.093
2018,322468,42.3096385597,-92.9053233938,5,'IA 14 Over Wolf Ck. - 2.9 mi. S of W Jct. IA 175',7.722
2019,343285,42.4653642868,-92.9258642038,5,'US 20 EB On Ramp Adj. S Beaver Ck. - at Jct CR T19',38.996
2020,296676,42.1582384485,-92.9085542476,5,'IA 14 Over Little Asher Ck. - 2.3 mi. N IA 330',5.405
2021,276842,42.0279870577,-93.0012097146,5,'IA 330 Over Linn Ck. - 1.8 mi. N US 30',42.857
